REGION,DEPARTEMENT,COMMUNE,latitude,longitude,poids_dechets,id,cluster
DAKAR,DAKAR,GRAND DAKAR,14.70868,-17.456148,1,1,1
DAKAR,DAKAR,GRAND DAKAR,14.708445,-17.456582,1,2,1
DAKAR,DAKAR,GRAND DAKAR,14.708054,-17.455829,1,3,1
DAKAR,DAKAR,GRAND DAKAR,14.706714,-17.456577,1,4,0
DAKAR,DAKAR,GRAND DAKAR,14.708252,-17.457353,1,5,0
DAKAR,DAKAR,GRAND DAKAR,14.70763,-17.454279,1,6,2
DAKAR,DAKAR,GRAND DAKAR,14.706809,-17.455417,1,7,2
DAKAR,DAKAR,GRAND DAKAR,14.706589,-17.454766,1,8,2
DAKAR,DAKAR,GRAND DAKAR,14.705632,-17.454977,1,9,2
DAKAR,DAKAR,GRAND DAKAR,14.709142,-17.45419,1,10,1
DAKAR,DAKAR,GRAND DAKAR,14.704999,-17.457447,1,11,0
DAKAR,DAKAR,GRAND DAKAR,14.705802,-17.458001,1,12,0
DAKAR,DAKAR,GRAND DAKAR,14.707386,-17.458075,1,13,0
DAKAR,DAKAR,GRAND DAKAR,14.707109,-17.458347,1,14,0
DAKAR,DAKAR,GRAND DAKAR,14.706678,-17.45882,1,15,0
DAKAR,DAKAR,GRAND DAKAR,14.70957,-17.454877,1,16,1
DAKAR,DAKAR,GRAND DAKAR,14.709936,-17.4552,1,17,1
DAKAR,DAKAR,GRAND DAKAR,14.710187,-17.455852,1,18,1
DAKAR,DAKAR,GRAND DAKAR,14.710551,-17.455478,1,19,1
DAKAR,DAKAR,GRAND DAKAR,14.71132,-17.454936,1,20,1
DAKAR,DAKAR,GRAND DAKAR,14.70331,-17.455099,1,21,2
DAKAR,DAKAR,GRAND DAKAR,14.703927,-17.454636,1,22,2
DAKAR,DAKAR,GRAND DAKAR,14.704557,-17.45413,1,23,2
DAKAR,DAKAR,GRAND DAKAR,14.703985,-17.455643,1,24,2
DAKAR,DAKAR,GRAND DAKAR,14.705017,-17.455836,1,25,2
DAKAR,DAKAR,GRAND DAKAR,14.704664,-17.452655,1,26,2
DAKAR,DAKAR,GRAND DAKAR,14.705251,-17.452282,1,27,2
DAKAR,DAKAR,GRAND DAKAR,14.705993,-17.453613,1,28,2
DAKAR,DAKAR,GRAND DAKAR,14.706808,-17.453176,1,29,2
